,feature_name,"Adware
","Backdoor
","Downloader
","Dropper
","Spyware
","Trojan
",Virus,"Virus
","Worms
"
55,56,196.757077447136,87.68751240330845,354.28360767785745,88.6041186034242,106.34288078984797,60.257482154910385,0.001341228461051767,54.46185877090215,222.69282559882296
54,55,416.2278053153342,57.98837294547865,117.18682206390037,75.18074337118757,209.30773833665094,90.10530182430573,233.46023194644985,94.54616433846806,53.41075140879895
7,8,191.4321715792793,119.55763184214116,281.2779693216473,344.6424892678664,139.89994660552,82.1439615759781,0.0004560939804267394,92.03956569989846,115.5276695880282
27,28,170.33660964036685,92.06755684912157,81.17678643678022,52.428342541885115,178.6156462323761,126.24848069230342,307.23115505741606,202.49902502515317,163.2230694441516
9,10,64.45797113057061,299.3626945170517,122.26105502341127,282.24000882602235,454.56597762409626,102.36383884457608,0.00014936002840342918,76.2917066295774,136.4040286194132
13,14,162.62211886887388,217.8324620808656,322.2728812117529,152.43033223780407,159.87549082416436,160.20568326231228,0.00019369022866406294,125.09277968896482,328.57503898662986
23,24,209.1771434367804,134.093422296579,344.3681985140214,222.01724296336118,390.6985736538382,54.05065550100869,0.0007561053691166902,94.01410663390875,194.73877173183178
86,87,123.45825434588056,229.1808127195157,131.7872401578296,253.7776330014565,187.7861146048812,539.3924507084107,0.0022003860736084656,116.36075403697954,191.16550534162775
3,4,479.1496478019111,131.7978570890282,302.43336169038184,79.27331351718362,58.446843387532006,145.34453747735122,0.0004523359017831817,300.68765923800873,411.89652191261365
2,3,411.35995196490614,111.93932105570617,228.77159455783206,121.77532137202408,356.33744800452865,173.037409638047,0.0001396689808981705,264.75545197850965,344.4709309793925
29,30,102.14957880104237,118.19579088802246,161.81358344124877,348.83181832527345,568.9566709820821,235.55872046849586,0.004362827507268489,48.601196044569406,472.06964734044067
90,91,63.667018566639356,297.21672560926356,119.30120446874771,563.4674894450336,82.12029575174456,313.206336337168,0.0002703934293293355,105.83333740620016,675.2367410297954
76,77,168.47311050977578,626.4507186319337,324.3063480909286,432.72453341302383,389.8617997129157,93.89013314236723,10.57384207259006,135.57547858831455,159.785057175574
